ISSUE DATE,DOCM NO.,CUSTOMER NAME,,SALES EXEC,ITEM CODE,QTY,UNIT PRICE,UNIT COST,TOTAL AMOUNT,MARKUP,PROJECT CODE
01-08-2010,TS1004,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,GM21-24/03
01-08-2010,TS1004,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,GM21-24/03
03-08-2010,SQ1067,"InnoChain Co., Ltd.",,Tommy Shen,VINYL MP55,0,8.1,4.86,0,0.6667000000000001,PC-2001
12-08-2010,SQ1071,Gosei Cutting Pte Ltd,,Kim Meng Tan,TITANCO-202,0,8.4,5.04,0,0.6667000000000001,PC-2013
10-10-2010,SQ1084,Peer Private Ltd,,Kim Meng Tan,VINYL MP62,0,8.39,5.03,0,0.6679999999999999,PC-2013
12-10-2010,SQ1085,Jorafe Chemical Pte Ltd,,Kim Hu Tao,TYH-KD-07,0,17,10.2,0,0.6667000000000001,PC-2042
18-10-2010,SQ1087,Interhorizon Enterprise Limited,,Kim Meng Tan,603PSB07,0,2,0,0,0,PC-2022
01-12-2010,DQ1073,Tiong Aik Construction Pte Ltd,,Kim Meng Tan,SAV-CMUB,4,0,400,0,-1,PD-1088
01-12-2010,DQ1073,Tiong Aik Construction Pte Ltd,,Kim Meng Tan,SAV-MONITOR-BC,2,0,0,0,0,PD-1088
01-12-2010,DQ1073,Tiong Aik Construction Pte Ltd,,Kim Meng Tan,SAV-LT24-LT25,2,0,0,0,0,PD-1088
01-12-2010,DQ1073,Tiong Aik Construction Pte Ltd,,Kim Meng Tan,SAV-CMUB,16,0,400,0,-1,PD-1088
01-12-2010,DQ1073,Tiong Aik Construction Pte Ltd,,Kim Meng Tan,SAV-MONITOR-BC,8,0,0,0,0,PD-1088
01-12-2010,DQ1073,Tiong Aik Construction Pte Ltd,,Kim Meng Tan,SAV-NORMAL-LT,8,0,0,0,0,PD-1088
05-12-2010,DQ1074,Tiong Aik Construction Pte Ltd,,Jacqueline Hu,SAV-MONITOR-BC,2,0,0,0,0,PD-1088
05-12-2010,DQ1074,Tiong Aik Construction Pte Ltd,,Jacqueline Hu,SAV-LT24-LT25,2,0,0,0,0,PD-1088
05-12-2010,DQ1074,Tiong Aik Construction Pte Ltd,,Jacqueline Hu,SAV-CMUB,16,0,400,0,-1,PD-1088
05-12-2010,DQ1074,Tiong Aik Construction Pte Ltd,,Jacqueline Hu,SAV-MONITOR-BC,8,0,0,0,0,PD-1088
05-12-2010,DQ1074,Tiong Aik Construction Pte Ltd,,Jacqueline Hu,SAV-NORMAL-LT,8,0,0,0,0,PD-1088
05-12-2010,DQ1074,Tiong Aik Construction Pte Ltd,,Jacqueline Hu,SAV-CMUB,4,0,400,0,-1,PD-1088
05-12-2010,DQ1074,Tiong Aik Construction Pte Ltd,,Jacqueline Hu,SAV-CMUB,8,0,400,0,-1,PD-1088
05-12-2010,DQ1074,Tiong Aik Construction Pte Ltd,,Jacqueline Hu,SAV-MONITOR-BC,4,0,0,0,0,PD-1088
05-12-2010,DQ1074,Tiong Aik Construction Pte Ltd,,Jacqueline Hu,SAV-NORMAL-LT,4,0,0,0,0,PD-1088
08-12-2010,DQ1075,Tiong Aik Construction Pte Ltd,,Micheal Tan,SAV-MONITOR-BC,18,0,0,0,0,PD-1088
08-12-2010,DQ1075,Tiong Aik Construction Pte Ltd,,Micheal Tan,SAV-NORMAL-LT,18,0,0,0,0,PD-1088
08-12-2010,DQ1075,Tiong Aik Construction Pte Ltd,,Micheal Tan,SAV-CMUB,36,0,400,0,-1,PD-1088
10-12-2010,DQ1076,Tiong Aik Construction Pte Ltd,,Micheal Tan,SAV-NORMAL-LT,8,0,0,0,0,PD-1088
10-12-2010,DQ1076,Tiong Aik Construction Pte Ltd,,Micheal Tan,SAV-CMUB,16,0,400,0,-1,PD-1088
10-12-2010,DQ1076,Tiong Aik Construction Pte Ltd,,Micheal Tan,SAV-MONITOR-BC,8,0,0,0,0,PD-1088
10-12-2010,DQ1076,Tiong Aik Construction Pte Ltd,,Micheal Tan,SAV-NORMAL-LT,10,0,0,0,0,PD-1088
10-12-2010,DQ1076,Tiong Aik Construction Pte Ltd,,Micheal Tan,SAV-NORMAL-LT,8,0,0,0,0,PD-1088
10-12-2010,DQ1076,Tiong Aik Construction Pte Ltd,,Micheal Tan,SAV-CMUB,30,0,400,0,-1,PD-1088
10-12-2010,DQ1076,Tiong Aik Construction Pte Ltd,,Micheal Tan,SAV-MONITOR-BC,15,0,0,0,0,PD-1088
10-12-2010,DQ1076,Tiong Aik Construction Pte Ltd,,Micheal Tan,SAV-LT24-LT25,15,0,0,0,0,PD-1088
31-12-2010,DQ1050,Advent Devices (Asia) Limited,,Kim Meng Tan,1810-T0031,0,76,45.6,0,0.6667000000000001,
31-12-2010,DQ1058,AA Advent Devices (Asia) Limited,,Kim Meng Tan,AUT47500-37390,1,0,0,0,0,
31-12-2010,DQ1078,AA Advent Devices (Asia) Limited,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1078,AA Advent Devices (Asia) Limited,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1078,AA Advent Devices (Asia) Limited,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1078,AA Advent Devices (Asia) Limited,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1078,AA Advent Devices (Asia) Limited,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1078,AA Advent Devices (Asia) Limited,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1078,AA Advent Devices (Asia) Limited,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1078,AA Advent Devices (Asia) Limited,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1078,AA Advent Devices (Asia) Limited,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1078,AA Advent Devices (Asia) Limited,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1079,AA Advent Devices (Asia) Limited,,Kim Meng Tan,,0,0,0,0,0,PC-8003
31-12-2010,DQ1079,AA Advent Devices (Asia) Limited,,Kim Meng Tan,,0,0,0,0,0,PC-8003
31-12-2010,DQ1080,GENERAL PARTY,,,,0,0,0,0,0,PC-8003
31-12-2010,DQ1080,GENERAL PARTY,,,,0,0,0,0,0,PC-8003
31-12-2010,DQ1080,GENERAL PARTY,,,,0,0,0,0,0,PC-8003
31-12-2010,DQ1080,GENERAL PARTY,,,,0,0,0,0,0,PC-8003
31-12-2010,DQ1080,GENERAL PARTY,,,,0,0,0,0,0,PC-8003
31-12-2010,DQ1080,GENERAL PARTY,,,,0,0,0,0,0,PC-8003
31-12-2010,DQ1080,GENERAL PARTY,,,,0,0,0,0,0,PC-8003
31-12-2010,DQ1080,GENERAL PARTY,,,,0,0,0,0,0,PC-8003
31-12-2010,DQ1080,GENERAL PARTY,,,,0,0,0,0,0,PC-8003
31-12-2010,DQ1080,GENERAL PARTY,,,,0,0,0,0,0,PC-8003
31-12-2010,DQ1080,GENERAL PARTY,,,,0,0,0,0,0,PC-8003
31-12-2010,DQ1080,GENERAL PARTY,,,,0,0,0,0,0,PC-8003
31-12-2010,DQ1080,GENERAL PARTY,,,,0,0,0,0,0,PC-8003
31-12-2010,DQ1080,GENERAL PARTY,,,,0,0,0,0,0,PC-8003
31-12-2010,DQ1080,GENERAL PARTY,,,,0,0,0,0,0,PC-8003
31-12-2010,DQ1080,GENERAL PARTY,,,,0,0,0,0,0,PC-8003
31-12-2010,DQ1080,GENERAL PARTY,,,,0,0,0,0,0,PC-8003
31-12-2010,DQ1080,GENERAL PARTY,,,,0,0,0,0,0,PC-8003
31-12-2010,DQ1080,GENERAL PARTY,,,,0,0,0,0,0,PC-8003
31-12-2010,DQ1080,GENERAL PARTY,,,,0,0,0,0,0,PC-8003
31-12-2010,DQ1080,GENERAL PARTY,,,,0,0,0,0,0,PC-8003
31-12-2010,DQ1080,GENERAL PARTY,,,,0,0,0,0,0,PC-8003
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,350,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,2500,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,6000,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,4000,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,55000,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,15000,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,8000,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,3500,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,31,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,33,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,42,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,40,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,25,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,22,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,17,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,12000,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,2100,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,7200,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,3900,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,2100,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,7200,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,1.3,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,1.45,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,1.6,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,1.7,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,1.8,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,2,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,2.3,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,2.5,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,8,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,10,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,8,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,1500,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,50,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,37,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,40,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,40,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,45,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,50,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,28,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,29,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,32,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,34,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,36,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,41,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,45,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,500,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,3000,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,6000,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,8000,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,11000,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,15000,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,2025,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,2625,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,3600,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,3750,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,5625,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,7500,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,10425,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,37000,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,2000,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,4000,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,5000,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,7000,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,9000,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,1080,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,1400,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,1920,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,2000,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,3000,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,4000,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,5560,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,100,0,0,0,
